id,code,name,description,active
catalog55_3001,3001,Detracciones: Recursos Hidrobiológicos-Matrícula de la embarcación,,1
catalog55_3002,3002,Detracciones: Recursos Hidrobiológicos-Nombre de la embarcación,,1
catalog55_3003,3003,Detracciones: Recursos Hidrobiológicos-Tipo de especie vendida,,1
catalog55_3004,3004,Detracciones: Recursos Hidrobiológicos-Lugar de descarga,,1
catalog55_3005,3005,Detracciones: Recursos Hidrobiológicos-Fecha de descarga,,1
catalog55_3006,3006,Detracciones: Recursos Hidrobiológicos-Cantidad de especie vendida,,1
catalog55_3050,3050,Transportre Terreste - Número de asiento,,1
catalog55_3051,3051,Transporte Terrestre - Información de manifiesto de pasajeros,,1
catalog55_3052,3052,Transporte Terrestre - Número de documento de identidad del pasajero,,1
catalog55_3053,3053,Transporte Terrestre - Tipo de documento de identidad del pasajero,,1
catalog55_3054,3054,Transporte Terrestre - Nombres y apellidos del pasajero,,1
catalog55_3055,3055,Transporte Terrestre - Ciudad o lugar de destino - Ubigeo,,1
catalog55_3056,3056,Transporte Terrestre - Ciudad o lugar de destino - Dirección detallada,,1
catalog55_3057,3057,Transporte Terrestre - Ciudad o lugar de origen - Ubigeo,,1
catalog55_3058,3058,Transporte Terrestre - Ciudad o lugar de origen - Dirección detallada,,1
catalog55_3059,3059,Transporte Terrestre - Fecha de inicio programado,,1
catalog55_3060,3060,Transporte Terrestre - Hora de inicio programado,,1
catalog55_4000,4000,Beneficio Hospedajes-Paquete turístico: Código de país de emisión del pasaporte,,1
catalog55_4001,4001,Beneficio Hospedajes: Código de país de residencia del sujeto no domiciliado,,1
catalog55_4002,4002,Beneficio Hospedajes: Fecha de ingreso al país,,1
catalog55_4003,4003,Beneficio Hospedajes: Fecha de Ingreso al Establecimiento,,1
catalog55_4004,4004,Beneficio Hospedajes: Fecha de Salida del Establecimiento,,1
catalog55_4005,4005,Beneficio Hospedajes: Número de Días de Permanencia,,1
catalog55_4006,4006,Beneficio Hospedajes: Fecha de Consumo ,,1
catalog55_4007,4007,Beneficio Hospedajes-Paquete turístico: Nombres y apellidos del huesped ,,1
catalog55_4008,4008,Beneficio Hospedajes-Paquete turístico: Tipo de documento de identidad del huesped ,,1
catalog55_4009,4009,Beneficio Hospedajes-Paquete turístico: Número de documento de identidad del huesped ,,1
catalog55_4030,4030,Carta Porte Aéreo:  Lugar de origen - Código de ubigeo,,1
catalog55_4031,4031,Carta Porte Aéreo:  Lugar de origen - Dirección detallada,,1
catalog55_4032,4032,Carta Porte Aéreo:  Lugar de destino - Código de ubigeo,,1
catalog55_4033,4033,Carta Porte Aéreo:  Lugar de destino - Dirección detallada,,1
catalog55_4040,4040,BVME transporte ferroviario: Pasajero - Apellidos y Nombres,,1
catalog55_4041,4041,BVME transporte ferroviario: Pasajero - Tipo de documento de identidad,,1
catalog55_4042,4042,BVME transporte ferroviario: Servicio transporte: Ciudad o lugar de origen - Código de ubigeo,,1
catalog55_4043,4043,BVME transporte ferroviario: Servicio transporte: Ciudad o lugar de origen - Dirección detallada,,1
catalog55_4044,4044,BVME transporte ferroviario: Servicio transporte: Ciudad o lugar de destino - Código de ubigeo,,1
catalog55_4045,4045,BVME transporte ferroviario: Servicio transporte: Ciudad o lugar de destino - Dirección detallada,,1
catalog55_4046,4046,BVME transporte ferroviario: Servicio transporte:Número de asiento,,1
catalog55_4047,4047,BVME transporte ferroviario: Servicio transporte: Hora programada de inicio de viaje,,1
catalog55_4048,4048,BVME transporte ferroviario: Servicio transporte: Fecha programada de inicio de viaje,,1
catalog55_4049,4049,BVME transporte ferroviario: Pasajero - Número de documento de identidad,,1
catalog55_4060,4060,Regalía Petrolera: Decreto Supremo de aprobación del contrato,,0
catalog55_4061,4061,Regalía Petrolera: Area de contrato (Lote),,0
catalog55_4062,4062,Regalía Petrolera: Periodo de pago - Fecha de inicio,,0
catalog55_4063,4063,Regalía Petrolera: Periodo de pago - Fecha de fin,,0
catalog55_4064,4064,Regalía Petrolera: Fecha de Pago,,0
catalog55_5000,5000,Proveedores Estado: Número de Expediente,,1
catalog55_5001,5001,Proveedores Estado: Código de Unidad Ejecutora,,1
catalog55_5002,5002,Proveedores Estado: N° de Proceso de Selección,,1
catalog55_5003,5003,Proveedores Estado: N° de Contrato,,1
