id,code,name,description
ciiu_0111,0111,"CULTIVO DE CEREALES (EXCEPTO ARROZ), LEGUMBRES Y SEMILLAS OLEAGINOSAS",
ciiu_0112,0112,CULTIVO DE ARROZ,
ciiu_0113,0113,"CULTIVO DE HORTALIZAS Y MELONES, RAÍCES Y TUBÉRCULOS.",
ciiu_0114,0114,CULTIVO DE CAÑA DE AZÚCAR,
ciiu_0115,0115,CULTIVO DE TABACO,
ciiu_0116,0116,CULTIVO DE PLANTAS DE FIBRA,
ciiu_0119,0119,CULTIVO DE OTRAS PLANTAS NO PERENNES,
ciiu_0121,0121,CULTIVO DE UVA,
ciiu_0122,0122,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES,
ciiu_0123,0123,CULTIVO DE  CÍTRICOS,
ciiu_0124,0124,CULTIVO DE FRUTAS DE PEPITA Y DE HUESO,
ciiu_0125,0125,CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS ,
ciiu_0126,0126,CULTIVO DE FRUTOS OLEAGINOSOS,
ciiu_0127,0127,CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS,
ciiu_0128,0128,"CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACEUTICAS",
ciiu_0129,0129,CULTIVO DE OTRAS PLANTAS NO PERENNES,
ciiu_0130,0130,PROPAGACIÓN DE PLANTAS,
ciiu_0141,0141,CRÍA DE GANADO BOVINO Y BÚFALOS,
ciiu_0142,0142,CRÍA DE CABALLOS Y OTROS EQUINOS,
ciiu_0143,0143,CRÍA DE CAMELLOS Y OTROS CAMÉLIDOS,
ciiu_0144,0144,CRÍA DE OVEJAS Y CABRAS,
ciiu_0145,0145,CRÍA DE CERDOS,
ciiu_0146,0146,CRÍA DE AVES DE CORRAL,
ciiu_0149,0149,CRÍA DE OTROS ANIMALES,
ciiu_0150,0150,CULTIVO DE PRODUCTOS AGRÌCOLAS EN COMBINACIÒN CON LA CRÌA DE ANIMALES,
ciiu_0161,0161,ACTIVIDADES DE APOYO A LA AGRICULTURA,
ciiu_0162,0162,ACTIVIDADES DE APOYO A LA GANADERÍA,
ciiu_0163,0163,ACTIVIDADES POSCOSECHA,
ciiu_0164,0164,TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN,
ciiu_0170,0170,CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS,
ciiu_0210,0210,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES,
ciiu_0220,0220,EXTRACCIÓN DE MADERA,
ciiu_0230,0230,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA,
ciiu_0240,0240,SERVICIOS DE APOYO A LA SILVICULTURA,
ciiu_0311,0311,PESCA MARÍTIMA,
ciiu_0312,0312,PESCA DE AGUA DULCE,
ciiu_0321,0321,ACUICULTURA MARÍTIMA,
ciiu_0322,0322,ACUICULTURA DE AGUA DULCE,
ciiu_0510,0510,EXTRACCIÓN DE CARBÓN DE PIEDRA,
ciiu_0520,0520,EXTRACCIÓN DE LIGNITO,
ciiu_0610,0610,EXTRACCIÓN DE PETRÓLEO CRUDO,
ciiu_0620,0620,EXTRACCIÓN DE GAS NATURAL,
ciiu_0710,0710,EXTRACCIÓN DE MINERALES DE HIERRO,
ciiu_0721,0721,EXTRACCIÓN DE MINERALES DE URANIO Y TORIO,
ciiu_0729,0729,EXTRACCIÓN DE OTROS MINERALES METALÍFEROS NO FERROSOS,
ciiu_0810,0810,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA",
ciiu_0891,0891,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS Y PRODUCTOS QUÍMICOS,
ciiu_0892,0892,EXTRACCIÓN DE TURBA,
ciiu_0893,0893,EXTRACCIÓN DE SAL,
ciiu_0899,0899,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,
ciiu_0910,0910,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL,
ciiu_0990,0990,ACTIVIDADES DE APOYO PARA OTRAS ACTIVIDADES DE EXPLOTACIÓN DE MINAS Y CANTERAS,
ciiu_1010,1010,ELABORACIÒN Y CONSERVACIÓN DE CARNE,
ciiu_1020,1020,"ELABORACIÒN Y CONSERVACIÓN DE PESCADOS, CRUSTÁCEOS Y MOLUSCOS",
ciiu_1030,1030,"ELABORACIÒN Y CONSERVACIÓN DE FRUTAS,LEGUMBRES Y HORTALIZAS",
ciiu_1040,1040,ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,
ciiu_1050,1050,ELABORACIÓN DE PRODUCTOS LÁCTEOS,
ciiu_1061,1061,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA.,
ciiu_1062,1062,ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN.,
ciiu_1071,1071,ELABORACIÓN DE PRODUCTOS DE PANADERÍA,
ciiu_1072,1072,ELABORACIÓN DE AZÚCAR,
ciiu_1073,1073,ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA,
ciiu_1074,1074,"ELABORACIÓN DE MACARRONES, FIDEOS, ALCUZCUS Y PRODUCTOS FARINÁCEOS SIMILARES",
ciiu_1075,1075,ELABORACIÓN DE COMIDAS Y PLATOS PREPARADOS,
ciiu_1079,1079,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,
ciiu_1080,1080,ELABORACIÓN DE PIENSOS PREPARADOS PARA ANIMALES,
ciiu_1101,1101,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLA DE BEBIDAS ALCOHÓLICAS",
ciiu_1102,1102,ELABORACIÓN DE VINOS,
ciiu_1103,1103,ELABORACIÓN DE BEBIDAS MALTEADAS Y DE MALTA,
ciiu_1104,1104,ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS; PRODUCCIÓN DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS,
ciiu_1200,1200,ELABORACIÓN DE PRODUCTOS DE TABACO,
ciiu_1311,1311,PREPARACIÓN E HILATURA DE FIBRAS TEXTILES,
ciiu_1312,1312,TEJEDURA DE PRODUCTOS TEXTILES,
ciiu_1313,1313,ACABADO DE PRODUCTOS TEXTILES,
ciiu_1391,1391,FABRICACIÓN DE TEJIDOS DE PUNTO Y GANCHILLO,
