id,code,name,description
return_code_0000,0000,Ok,
return_code_0100,0100,El sistema no puede responder su solicitud. Intente nuevamente o comuníquese con su Administrador,
return_code_0101,0101,El encabezado de seguridad es incorrecto,
return_code_0102,0102,Usuario o contraseña incorrectos,
return_code_0103,0103,El Usuario ingresado no existe,
return_code_0104,0104,La Clave ingresada es incorrecta,
return_code_0105,0105,El Usuario no está activo,
return_code_0106,0106,El Usuario no es válido,
return_code_0109,0109,El sistema no puede responder su solicitud. (El servicio de autenticación no está disponible),
return_code_0110,0110,No se pudo obtener la informacion del tipo de usuario,
return_code_0111,0111,No tiene el perfil para enviar comprobantes electronicos,
return_code_0112,0112,El usuario debe ser secundario,
return_code_0113,0113,El usuario no esta afiliado a Factura Electronica,
return_code_0125,0125,No se pudo obtener la constancia,
return_code_0126,0126,El ticket no le pertenece al usuario,
return_code_0127,0127,El ticket no existe,
return_code_0130,0130,El sistema no puede responder su solicitud. (No se pudo obtener el ticket de proceso),
return_code_0131,0131,El sistema no puede responder su solicitud. (No se pudo grabar el archivo en el directorio),
return_code_0132,0132,El sistema no puede responder su solicitud. (No se pudo grabar escribir en el archivo zip),
return_code_0133,0133,El sistema no puede responder su solicitud. (No se pudo grabar la entrada del log),
return_code_0134,0134,El sistema no puede responder su solicitud. (No se pudo grabar en el storage),
return_code_0135,0135,El sistema no puede responder su solicitud. (No se pudo encolar el pedido),
return_code_0136,0136,El sistema no puede responder su solicitud. (No se pudo recibir una respuesta del batch),
return_code_0137,0137,El sistema no puede responder su solicitud. (Se obtuvo una respuesta nula),
return_code_0138,0138,El sistema no puede responder su solicitud. (Error en Base de Datos),
return_code_0151,0151,El nombre del archivo ZIP es incorrecto,
return_code_0152,0152,No se puede enviar por este método un archivo de resumen,
return_code_0153,0153,No se puede enviar por este método un archivo por lotes,
return_code_0154,0154,El RUC del archivo no corresponde al RUC del usuario o el proveedor no esta autorizado a enviar comprobantes del contribuyente,
return_code_0155,0155,El archivo ZIP esta vacio,
return_code_0156,0156,El archivo ZIP esta corrupto,
return_code_0157,0157,El archivo ZIP no contiene comprobantes,
return_code_0158,0158,El archivo ZIP contiene demasiados comprobantes para este tipo de envío,
return_code_0159,0159,El nombre del archivo XML es incorrecto,
return_code_0160,0160,El archivo XML esta vacio,
return_code_0161,0161,El nombre del archivo XML no coincide con el nombre del archivo ZIP,
return_code_0200,0200,No se pudo procesar su solicitud. (Ocurrio un error en el batch),
return_code_0201,0201,No se pudo procesar su solicitud. (Llego un requerimiento nulo al batch),
return_code_0202,0202,No se pudo procesar su solicitud. (No llego información del archivo ZIP),
return_code_0203,0203,No se pudo procesar su solicitud. (No se encontro archivos en la informacion del archivo ZIP),
return_code_0204,0204,No se pudo procesar su solicitud. (Este tipo de requerimiento solo acepta 1 archivo),
return_code_0250,0250,No se pudo procesar su solicitud. (Ocurrio un error desconocido al hacer unzip),
return_code_0251,0251,No se pudo procesar su solicitud. (No se pudo crear un directorio para el unzip),
